"accession","species","type","title","summary","nsamples"
"GSE212512","Homo sapiens","Expression profiling by high throughput sequencing","Identifying Altered Developmental Pathways in Induced Pluripotent Stem Cell-Derived Neural Stem Cells From a Patients with Globoid Cell Leukodystrophy Using Transcriptome Profiling","we identified gene-expression changes in induced pluripotent stem cells (iPSCs) and iPSC-derived neural stem cells (NSCs) from a patients with GLD (K-iPSCs/NSCs) and normal control (AF-iPSCs/NSCs), in order to investigate the potential mechanism underlying GLD pathogenesis. We identified 194 (K-iPSCs vs. AF-iPSCs) and 702 (K-NSCs vs. AF-NSCs) significantly dysregulated mRNAs when comparing the indicated groups. We also identified dozens of Gene Ontology and Kyoto Encyclopedia of Genes and Genomes pathway terms that were enriched for the differentially expressed genes.",12
"GSE83420","Homo sapiens","Other","Identification of a RAI1-associated disease network through integration of exome sequencing, transcriptomics and 3D genomics","Smith-Magenis syndrome (SMS) is a developmental disability/multiple congenital anomaly disorder resulting from haploinsufficiency of RAI1. It is characterized by distinctive facial features, brachydactyly, sleep disturbances and stereotypic behaviors. We investigated a cohort of 15 individuals with a clinical suspicion of SMS, who showed neither deletion in the SMS critical region nor damaging variants in RAI1. Potentially deleterious variants were identified in nine of these subjects using whole-exome sequencing. Eight of these changes affect KMT2D, ZEB2, MAP2K2, GLDC, CASK, MECP2, KDM5C and POGZ, known to be associated with Kabuki syndrome 1, Mowat-Wilson syndrome, cardiofaciocutaneous syndrome, glycine encephalopathy, mental retardation and microcephaly with pontine and cerebellar hypoplasia, X-linked mental retardation 13, X-linked mental retardation Claes-Jensen type and White-Sutton syndrome, respectively. The ninth individual carries a de novo variant in JAKMIP1, a regulator of neuronal translation that was recently found deleted in a patient with autism spectrum disorder. Analyses of coexpression and biomedical text mining suggest that these pathologies and SMS are part of the same disease network. Further support for this hypothesis was obtained from transcriptome profiling that showed that the expression levels of both Zeb2 and Map2k2 are perturbed in Rai1-/- mice. As an orthogonal approach to potentially contributory disease gene variants, we used chromatin conformation capture to reveal chromatin contacts between RAI1 and the loci flanking ZEB2 and GLDC, as well as between RAI1 and human orthologs of the genes that show perturbed expression in our Rai1-/- mouse model. These holistic studies of RAI1 and its interactions allow insights into SMS and other disorders associated with intellectual disability and behavioral abnormalities. Our findings support a pan-genomic approach to the molecular diagnosis of a distinctive disorder.",2
"GSM6533850","Homo sapiens","","K-NSCs-3","skin",NA
"GSM6533849","Homo sapiens","","K-NSCs-2","skin",NA
"GSM6533848","Homo sapiens","","K-NSCs-1","skin",NA
"GSM6533844","Homo sapiens","","K-iPSCs-3","skin",NA
"GSM6533843","Homo sapiens","","K-iPSCs-2","skin",NA
"GSM6533842","Homo sapiens","","K-iPSCs-1","skin",NA
"GSE224098","Homo sapiens","Expression profiling by high throughput sequencing","Lactate dehydrogenase B noncanonically promotes ferroptosis defense in KRAS-driven lung cancer","To investigate SLC7A11 inhibition-induced ferroptosis in LDHB-deficient lung cancer cells requires glutaminolysis",12
"GSE192939","Homo sapiens","Expression profiling by high throughput sequencing","ABCA1-eRNA as a novel Epigenetic Regulator, promotes cholesterol efflux, Attenuates Macrophage Inflammation and Severity of Coronary Artery Disease [ABCA1 RNA-seq]","Enhancer RNAs (eRNAs) are emerging as powerful regulators of various biological processes, but the underlying epigenetic regulatory mechanisms of these molecules in cholesterol homeostasis remain elusive. Using an integrated genomic screen, we identified an intragenic super-enhancer derived long noncoding RNA embedded in the ATP-binding cassette transporter A1 (ABCA1) gene, named ABCA1-seRNA, which is required for activation of RXRα/LXR mediated gene expression. Deficiency of ABCA1-seRNA abolished cholesterol efflux, promotes Macrophage Inflammation, and that haven been causally Susceptibility to Coronary heart disease. Mechanistically, ABCA1-seRNA affects cholesterol efflux by interaction with MED23 and recruitment RXR and LXR to mediate ABCA1 transcription in cis. Furthermore, ABCA1-seRNA repression inflammatory response and attenuated macrophage M1 polarization and migration through ubiquitination of a NF-B subunit P65. Our results suggest that super-enhancer derived long noncoding RNA, as a novel Epigenetic Regulator, are critical components to maintain cholesterol homeostasis and inflammation restriction, represent an attractive therapeutic target to reduce Atherosclerotic cardiovascular disease (ASCVD).",6
"GSE192938","Homo sapiens","Expression profiling by high throughput sequencing","ABCA1-eRNA as a novel Epigenetic Regulator, promotes cholesterol efflux, Attenuates Macrophage Inflammation and Severity of Coronary Artery Disease [MED23 RNA-seq]","Enhancer RNAs (eRNAs) are emerging as powerful regulators of various biological processes, but the underlying epigenetic regulatory mechanisms of these molecules in cholesterol homeostasis remain elusive. Using an integrated genomic screen, we identified an intragenic super-enhancer derived long noncoding RNA embedded in the ATP-binding cassette transporter A1 (ABCA1) gene, named ABCA1-seRNA, which is required for activation of RXRα/LXR mediated gene expression. Deficiency of ABCA1-seRNA abolished cholesterol efflux, promotes Macrophage Inflammation, and that haven been causally Susceptibility to Coronary heart disease. Mechanistically, ABCA1-seRNA affects cholesterol efflux by interaction with MED23 and recruitment RXR and LXR to mediate ABCA1 transcription in cis. Furthermore, ABCA1-seRNA repression inflammatory response and attenuated macrophage M1 polarization and migration through ubiquitination of a NF-B subunit P65. Our results suggest that super-enhancer derived long noncoding RNA, as a novel Epigenetic Regulator, are critical components to maintain cholesterol homeostasis and inflammation restriction, represent an attractive therapeutic target to reduce Atherosclerotic cardiovascular disease (ASCVD).",6
"GSE192937","Homo sapiens","Genome binding/occupancy profiling by high throughput sequencing","ABCA1-eRNA as a novel Epigenetic Regulator, promotes cholesterol efflux, Attenuates Macrophage Inflammation and Severity of Coronary Artery Disease [CUT&TAG]","Enhancer RNAs (eRNAs) are emerging as powerful regulators of various biological processes, but the underlying epigenetic regulatory mechanisms of these molecules in cholesterol homeostasis remain elusive. Using an integrated genomic screen, we identified an intragenic super-enhancer derived long noncoding RNA embedded in the ATP-binding cassette transporter A1 (ABCA1) gene, named ABCA1-seRNA, which is required for activation of RXRα/LXR mediated gene expression. Deficiency of ABCA1-seRNA abolished cholesterol efflux, promotes Macrophage Inflammation, and that haven been causally Susceptibility to Coronary heart disease. Mechanistically, ABCA1-seRNA affects cholesterol efflux by interaction with MED23 and recruitment RXR and LXR to mediate ABCA1 transcription in cis. Furthermore, ABCA1-seRNA repression inflammatory response and attenuated macrophage M1 polarization and migration through ubiquitination of a NF-B subunit P65. Our results suggest that super-enhancer derived long noncoding RNA, as a novel Epigenetic Regulator, are critical components to maintain cholesterol homeostasis and inflammation restriction, represent an attractive therapeutic target to reduce Atherosclerotic cardiovascular disease (ASCVD).",14
"GSE192936","Homo sapiens","Genome binding/occupancy profiling by high throughput sequencing","ABCA1-eRNA as a novel Epigenetic Regulator, promotes cholesterol efflux, Attenuates Macrophage Inflammation and Severity of Coronary Artery Disease [ATAC-seq]","Enhancer RNAs (eRNAs) are emerging as powerful regulators of various biological processes, but the underlying epigenetic regulatory mechanisms of these molecules in cholesterol homeostasis remain elusive. Using an integrated genomic screen, we identified an intragenic super-enhancer derived long noncoding RNA embedded in the ATP-binding cassette transporter A1 (ABCA1) gene, named ABCA1-seRNA, which is required for activation of RXRα/LXR mediated gene expression. Deficiency of ABCA1-seRNA abolished cholesterol efflux, promotes Macrophage Inflammation, and that haven been causally Susceptibility to Coronary heart disease. Mechanistically, ABCA1-seRNA affects cholesterol efflux by interaction with MED23 and recruitment RXR and LXR to mediate ABCA1 transcription in cis. Furthermore, ABCA1-seRNA repression inflammatory response and attenuated macrophage M1 polarization and migration through ubiquitination of a NF-B subunit P65. Our results suggest that super-enhancer derived long noncoding RNA, as a novel Epigenetic Regulator, are critical components to maintain cholesterol homeostasis and inflammation restriction, represent an attractive therapeutic target to reduce Atherosclerotic cardiovascular disease (ASCVD).",6
